" Copy"," Copie"
"Action","Actiune"
"Add New Template","Adauga template nou"
"Add to Queue","Adauga la Queue"
"Are you sure that you want to delete this template?","Esti sigur ca vrei sa stergi template-ul?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Inapoi"
"Back to My Orders","Inapoi la Comenzile Mele"
"Cancel","Anuleaza"
"Cancelled","Anulat"
"Cannot delete subscriber","Nu se poate sterge abonatul"
"Cannot delete template","Nu se poate sterge template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Nu s-a putut salva abonarea ta: %s"
"Closed","Inchis"
"Complete","Complet"
"Confirmation Email Sender","Expeditor email de confirmare"
"Confirmation Email Template","Template email de confirmare"
"Confirmation request has been sent","Cererea de confirmare a fost trimisa"
"Convert to Plain Text","Schimba in Plain Text"
"Create Newsletter Template","Creaza template pt newsletter"
"Customer","Client"
"Customer Firstname","Prenume client"
"Customer Lastname","Nume client"
"Date","Data"
"Date Added","Adaugat la data"
"Date Updated","Actualizat la data"
"Delete Selected Problems","Sterge problemele selectate"
"Delete Template","Sterge Template"
"Do you really want to cancel the queue?","Sigur anulezi lista de queue?"
"Duplicate of template code","Cod template duplicat"
"Edit Newsletter","Modifica newsletter"
"Edit Newsletter Template","Modifica template newsletter"
"Edit Queue","Modifica queue"
"Edit Template","Modifica template"
"Email","Email"
"Enter your email address","Introduceti adresa de email..."
"Error Code","Cod eroare"
"Error Text","Text eroare"
"Form was filled incorrectly","Formular completat gresit"
"Guest","Guest"
"Grand Total","Total"
"ID","ID"
"Invalid queue selected","Queue selectat este nevalid "
"Invalid subscriber ID","ID abonat nevalid"
"Invalid subscription ID","ID abonare nevalid"
"Invalid subscription confirmation code","Cod de confirmare abonare nevalid"
"Item","Produs"
"Items Invoiced","Produse facturate"
"Items Shipped","Produse livrate"
"Message","Mesaj"
"Need to Confirm","Necesita confirmare"
"New Newsletter Template","Template nou de newsletter"
"New Template","Template nou"
"Newsletter","Newsletter"
"Newsletter Message Preview","Previzualizare mesaj newsletter"
"Newsletter Problem Reports","Rapoarte probleme newsletter"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Abonati"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Template-uri"
"Newsletter subscription confirmation","Confirmarea abonarii la newsletter"
"Newsletter subscription success","Abonare la newsletter reusita"
"Newsletter unsubscription success","Dezabonare de la newsletter reusita"
"No Templates Found","Nici un template"
"No problems found","Nici o problema"
"No subscribers selected","Nici un abonat selectat"
"Not Sent","Netrimis"
"Not activated","Neactivat"
"Number","Numar"
"On Hold","In asteptare"
"Order #%s","Comanda numarul %s"
"Order # %s","Comanda numarul %s"
"Order #%s - %s","Comanda numarul %s - %s"
"Order Date: %s","Data comenzii: %s"
